step,train_loss,loss,accuracy,macro_f1,weighted_f1
500,0.3836,0.5876314640045166,0.823126142595978,0.7979013393192778,0.816240717639466
1000,0.3229,0.5247827172279358,0.81672760511883,0.7851341876655933,0.8062968820740785
1500,0.265,0.6020656228065491,0.823583180987203,0.7920520800504254,0.8128507640016801
2000,0.2397,0.7036239504814148,0.8308957952468007,0.8038856589147287,0.8225798665731332
2500,0.1854,0.7118604779243469,0.8180987202925045,0.7831861888329523,0.8055333900633262
3000,0.1921,0.7978270053863525,0.8240402193784278,0.7925036979014639,0.8132815701992994
