step,train_loss,loss,accuracy,macro_f1,weighted_f1
250,1.3976,1.507413387298584,0.2756363636363636,0.19827444485339224,0.24054861757062712
500,1.3498,1.5932258367538452,0.2829090909090909,0.23651783437623236,0.2657628726452798
750,1.2786,1.6755720376968384,0.2858181818181818,0.24743513527725575,0.27509584799392184
1000,1.0045,1.9699424505233765,0.26036363636363635,0.24801840001649228,0.2559416371461829
1250,0.8037,2.4618775844573975,0.2690909090909091,0.22313405215984733,0.2522074625624737
1500,0.6066,3.09798264503479,0.25672727272727275,0.22833545714548903,0.22841021741110948
