step,train_loss,loss,accuracy,macro_f1,weighted_f1
250,1.4611,1.488802433013916,0.20436363636363636,0.07297819983744999,0.0789318348113677
500,1.4642,1.501612901687622,0.21454545454545454,0.11871720273234569,0.13992087679245055
750,1.4402,1.5035470724105835,0.216,0.1165505758625021,0.1448208064229173
1000,1.4372,1.499861717224121,0.22836363636363635,0.1307970366062322,0.172281086676164
1250,1.4138,1.5365859270095825,0.22763636363636364,0.1254112831405565,0.16293401687937467
1500,1.3966,1.596566915512085,0.21745454545454546,0.10303838331198112,0.12745716720326844
1750,1.3883,1.548496961593628,0.22327272727272726,0.12063284657862794,0.14771278458853063
2000,1.386,1.636689305305481,0.22763636363636364,0.10855531108919991,0.14338462862420878
