step,train_loss,loss,accuracy,macro_f1,weighted_f1
250,1.4206,1.4577112197875977,0.2843636363636364,0.14365731773653198,0.21741323620687344
500,1.3934,1.5820300579071045,0.23927272727272728,0.1423218949564349,0.19407780332718894
750,1.3263,1.5326182842254639,0.28363636363636363,0.17177021704205395,0.24602787387195915
1000,1.1912,1.685120701789856,0.29309090909090907,0.2421985283267026,0.2859229531137622
1250,1.1014,1.9753586053848267,0.24145454545454545,0.196886900977801,0.21463928104286614
1500,1.0677,2.0180954933166504,0.26545454545454544,0.2146070107333402,0.25007629438125323
