step,train_loss,loss,accuracy,macro_f1,weighted_f1
500,1.4369,1.4489772319793701,0.3781818181818182,0.10976253298153034,0.20755097145598464
1000,1.4219,1.4982742071151733,0.23927272727272728,0.1458134466277332,0.1942584071167165
1500,1.3799,1.4373160600662231,0.30472727272727274,0.23666319179582218,0.27641378795036786
2000,1.3476,1.4165468215942383,0.3367272727272727,0.26826874756816793,0.324984932129482
2500,1.3189,1.4792165756225586,0.30763636363636365,0.2574656110244085,0.3044185186548722
3000,1.3154,1.5249875783920288,0.29963636363636365,0.25944884668562207,0.2911290280447255
