step,train_loss,loss,accuracy,macro_f1,weighted_f1
1000,0.4076,0.6329339146614075,0.8117001828153565,0.7924723766445323,0.808697642512405
2000,0.3543,0.5888148546218872,0.8130712979890311,0.7961142198901253,0.8112170374679146
3000,0.3356,0.7034104466438293,0.8148994515539305,0.7941277121886179,0.8109244280494893
4000,0.3191,0.688529908657074,0.819926873857404,0.8020218722298008,0.8173145939846839
5000,0.2939,0.6709451079368591,0.8190127970749543,0.7970345827914351,0.8141898000516264
6000,0.2866,0.7037109732627869,0.823126142595978,0.8028940328118879,0.8191143547785906
7000,0.2769,0.7321219444274902,0.8217550274223034,0.8021974965229486,0.8181732703099216
8000,0.2642,0.739789605140686,0.8158135283363802,0.7992204846274896,0.8140460658109498
