step,train_loss,loss,accuracy,macro_f1,weighted_f1
250,1.5294,1.5107841491699219,0.3781818181818182,0.10976253298153034,0.20755097145598464
500,1.5412,1.4972468614578247,0.3781818181818182,0.10976253298153034,0.20755097145598464
750,1.5249,1.5181328058242798,0.3781818181818182,0.10976253298153034,0.20755097145598464
1000,1.511,1.51254403591156,0.37963636363636366,0.15446310884958464,0.2527072756811285
1250,1.4822,1.5561729669570923,0.29309090909090907,0.17084768741574274,0.23556280080004705
1500,1.4661,1.5870685577392578,0.2712727272727273,0.15514363707721168,0.21665229489253204
