step,train_loss,loss,accuracy,macro_f1,weighted_f1
500,0.3911,0.5640860199928284,0.8158135283363802,0.8003461140736376,0.8146198198464805
1000,0.3322,0.5915734767913818,0.8089579524680073,0.7786177722739204,0.7996686133468548
1500,0.2564,0.649386465549469,0.8011882998171846,0.7686093147040225,0.7909106419069424
2000,0.2333,0.7298356890678406,0.8117001828153565,0.7804041248524993,0.8016975686480511
2500,0.1562,0.7974225282669067,0.803473491773309,0.767564351895772,0.7910305572576043
3000,0.1675,0.9439297914505005,0.7970749542961609,0.7608060195398676,0.7847298943439015
