step,train_loss,loss,accuracy,macro_f1,weighted_f1
500,0.3543,0.613538920879364,0.8254113345521024,0.8080516629233094,0.8228786165029167
1000,0.3042,0.6547234654426575,0.8144424131627057,0.7828997983277726,0.8041551335043102
1500,0.2128,0.5944502949714661,0.833180987202925,0.8107685764281745,0.8274960330754652
2000,0.1903,0.7394506335258484,0.8254113345521024,0.798469574744704,0.8173961610094014
2500,0.1109,0.8206861019134521,0.8080438756855576,0.7737354238890639,0.7963661162712581
3000,0.1171,0.9453452825546265,0.8094149908592322,0.773526119944806,0.7966828885486033
