step,train_loss,loss,accuracy,macro_f1,weighted_f1
500,0.348,0.6202512979507446,0.8212979890310786,0.8022542572723177,0.8180165212611596
1000,0.3137,0.6038939952850342,0.8276965265082267,0.8023896479731114,0.8205537166024023
1500,0.2469,0.6005486845970154,0.8208409506398537,0.7922248062015504,0.8120305613423466
2000,0.2384,0.7117803692817688,0.8171846435100548,0.7866281791231082,0.8073681948060357
2500,0.1493,0.7204629182815552,0.8153564899451554,0.7856955140047344,0.8061739765090545
3000,0.147,1.0100901126861572,0.8011882998171846,0.7627183800888666,0.7872587829121525
