step,train_loss,loss,accuracy,macro_f1,weighted_f1
250,1.4096,1.472297191619873,0.2676363636363636,0.13609793488423252,0.19974355916865402
500,1.3891,1.5105832815170288,0.26327272727272727,0.1678777693548601,0.22545037508803348
750,1.3592,1.5089969635009766,0.2509090909090909,0.12990612503527635,0.18440894457586843
1000,1.3035,1.5781100988388062,0.28363636363636363,0.23074966236996608,0.27489395661917915
1250,1.1594,1.669966459274292,0.2756363636363636,0.2260595541812148,0.26622054230752784
1500,1.0962,1.9291356801986694,0.2872727272727273,0.22013076485275757,0.2794927528757502
