step,train_loss,loss,accuracy,macro_f1,weighted_f1
500,0.3285,0.6869944930076599,0.8272394881170019,0.8026740723774622,0.8205571859080597
1000,0.2861,0.7200551629066467,0.8363802559414991,0.8118524881078313,0.8293013558578581
1500,0.165,0.694663941860199,0.8313528336380256,0.8057015598561748,0.8238349131459862
2000,0.1339,0.922321617603302,0.8327239488117002,0.8089383875400824,0.8262537831808197
2500,0.0538,1.0596625804901123,0.8240402193784278,0.7940451121348793,0.814233435812573
3000,0.0468,1.3098574876785278,0.823126142595978,0.7936460241043131,0.8136796717371011
